"","Query","Tax","Matching","MapQ","AS.max"
"747","07bb6352-a884-46f7-b17e-911028c055f3","Lactobacillus_paracasei",94.8489010989011,1,2416
"750","07bd952a-57e6-4e1d-82cb-62f628243532","Lactobacillus_fermentum",89.0921409214092,8,1932
"754","07c5c977-0f6d-431a-b8e9-b97e60506491","Lactobacillus_casei",85.9600825877495,1,1626
"759","07d4f984-e043-483a-9af9-63f448fcfe16","Lactobacillus_fermentum",91.57824933687,1,2198
"763","07e004a4-52b4-44c9-acef-212b9f61f1ca","Lactobacillus_casei",91.3588850174216,0,2100
"769","07e2649c-9c31-440a-bda2-cf699a92c67b","Lactobacillus_fermentum",91.7180013689254,1,2134
"772","07f86f8f-d3ad-4976-8252-104401188834","Lactobacillus_delbrueckii",92.4657534246575,1,2246
"776","08011beb-8672-416f-9f6a-13c2a088c22d","Pediococcus_claussenii",85.9786476868327,1,1582
"777","08088f46-16d8-430b-8bc4-9bd7523584c9","Lactobacillus_casei",92.3444976076555,0,2216
"781","080e666f-9197-48e3-b767-a7ca4d0f3a95","Lactobacillus_fermentum",83.4886817576565,0,1456
"785","081d1b86-8f2e-42d1-9be9-e44bf6abba76","Lactobacillus_fermentum",94.1620879120879,1,2356
"789","082f2d69-e21d-4fb9-a8a3-1abb04147d2c","Lactobacillus_delbrueckii",83.6477987421384,1,1108
"793","0832b0d8-7c70-48ed-b673-3acdcc262dea","Lactobacillus_delbrueckii",89.2761394101877,1,1990
"797","0847bdae-1132-4120-85d1-726659b9410c","Lactobacillus_paracasei",92.5342465753425,0,2218
"802","0864368a-0cf3-45e3-b24c-1e967d40f14b","Lactobacillus_fermentum",93.2478055367995,0,2314
"804","0878004f-d85c-4bf0-abb4-5bbd089cfcca","Lactobacillus_casei",88.3828382838284,0,1990
"808","089e334c-75d9-4440-a905-fe9661540c64","Lactobacillus_casei",92.2222222222222,0,2162
"810","08a810a3-145e-4ba7-901a-a9954ca9eb85","Lactobacillus_casei",88.563829787234,0,1932
"815","08c5198d-59c0-41af-978d-d2d92867204b","Lactobacillus_paracasei",94.0689655172414,1,2346
"816","08e0867c-00c4-4ca4-af33-1f82f616ec64","Lactobacillus_casei",93.732970027248,0,2364
"819","08e1a3d3-a611-4b4d-bcf8-45ecd0631111","Lactobacillus_casei",91.8994413407821,0,2132
"826","08f13d93-bfb6-4e32-846b-93f2e8ef03f9","Lactobacillus_fermentum",87.1140939597315,1,1762
"830","08f2b98a-958f-483f-8361-2300d56bae6f","Lactobacillus_casei",84.698275862069,1,1474
"835","0900ae74-80c2-469b-9df2-390271e49d08","Lactobacillus_casei",78.6624203821656,1,1080
"840","090b8391-8d51-4bef-9e24-7a661de41eed","Lactobacillus_casei",87.2340425531915,1,1788
"845","090d0f15-a7ef-4772-8a01-9d45926cbd0d","Lactobacillus_fermentum",86.2228081740277,1,1720
"847","091c63ac-ca48-4184-a445-a9db71ec7fd0","Lactobacillus_casei",93.0440771349862,0,2256
"850","09217ebd-adb8-4d1b-a2e4-d8b035a12535","Lactobacillus_delbrueckii",84.7826086956522,0,1536
"852","0929cf79-4644-434d-b35f-0e47d2cf8c98","Lactobacillus_casei",93.9518900343643,0,2358
"854","0948c4e1-024f-4a5c-8551-224f6e652a80","Lactobacillus_casei",83.9683680805176,1,1394
"860","095563bd-5597-4db1-b6e6-52cdae570ec8","Lactobacillus_delbrueckii",87.9861111111111,0,1806
"862","095955d5-dc42-48b7-b289-33e01f705312","Lactobacillus_casei",80.5845511482255,0,1208
"869","096450b6-5297-45d2-92eb-2503e9c0a567","Lactobacillus_paracasei",88.5496183206107,1,1828
"873","09664c7b-dfc4-406f-8df0-1282a36d1934","Lactobacillus_fermentum",85.5873015873016,0,1738
"877","0968eea5-5f0b-434e-9890-5f085b5edc59","Lactobacillus_delbrueckii",85.2617079889807,0,1564
"880","096e9f74-2d12-4770-8066-3ea33396759a","Lactobacillus_casei",94.3789035392089,0,2368
"883","096f9706-26a3-4052-bdb9-c0f7d33d96c1","Lactobacillus_casei",90.9600560616678,0,2082
"886","097259af-27c7-45c4-9cdf-34c6c36465cb","Lactobacillus_plantarum",83.7837837837838,0,1432
"890","09768a89-b347-4a2e-ab47-11c3b11af08b","Lactobacillus_plantarum",87.1546961325967,0,1734
"893","09772407-ca9e-4335-b348-b4790e2ddfe0","Lactobacillus_buchneri",90.2848794740687,1,1920
"894","097c9752-19d5-496d-8305-4e5d796faac9","Lactobacillus_casei",89.9705014749263,0,1872
